"","connection","date","time","from","to","vehicle","occupancy","line","from.station","from.name","from.longitude","from.latitude","from.avg_stop_times","from.prov","from.count","from.groups","from.k","from.maxcount","from.maj_groups","from.major_hub","from.non_hub","to.station","to.name","to.longitude","to.latitude","to.avg_stop_times","to.prov","to.count","to.groups","to.k","to.maxcount","to.maj_groups","to.major_hub","to.non_hub","occ_binary","date_time","hour","min","min_of_day","day_of_week","dist_morning_rush","dist_evening_rush","dist_rush","from_bruss","to_bruss","to_from_bruss","vehicle_type","nr_of_stops","temperature","humidity","windspeed","visibility","weather_type"
"15","8821006/20160728/IC3131",2016-07-28,"10:59:01 AM","008821006","008814001","IC3131","high","l.25","008821006","Antwerpen-Centraal",4.421101,51.2172,467.98265895954,"Antwerpen",334,"g8","k = 11",334,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","H",2016-07-28 11:00:00,11,0,660,"Thursday",3,7,3,"N","Y","Y","IC",9,18,83,10,10,"wt.176"
"16","8821006/20160728/THA9322",2016-07-28,"11:10:47 AM","008821006","008814001","THA9322","high","l.25","008821006","Antwerpen-Centraal",4.421101,51.2172,467.98265895954,"Antwerpen",334,"g8","k = 11",334,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","H",2016-07-28 11:00:00,11,0,660,"Thursday",3,7,3,"N","Y","Y","IC",6,18,83,10,10,"wt.176"
"17","8892007/20160728/P7009",2016-07-28,"01:16:06 PM","008892007","008814001","P7009","high","l.50","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","H",2016-07-28 13:00:00,13,0,780,"Thursday",5,5,5,"N","Y","Y","P",15,20,71,15,10,"wt.353"
"18","8892007/20160728/P7009",2016-07-28,"01:17:09 PM","008892007","008814001","P7009","high","l.50","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","H",2016-07-28 13:00:00,13,0,780,"Thursday",5,5,5,"N","Y","Y","P",15,20,71,15,10,"wt.353"
"19","8891140/20160728/L564",2016-07-28,"03:06:29 PM","008891140","008892007","L564","low","l.50A","008891140","Aalter",3.447848,51.092295,78.488439306358,"Oost-Vlaanderen",91,"g2","k = 11",343,"mg1","N","N","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","L",2016-07-28 15:00:00,15,0,900,"Thursday",7,3,3,"N","N","N","L",28,21,59,14,9,"wt.176"
"20","8821006/20160728/IC9240",2016-07-28,"03:33:06 PM","008821006","008814001","IC9240","high","l.25","008821006","Antwerpen-Centraal",4.421101,51.2172,467.98265895954,"Antwerpen",334,"g8","k = 11",334,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","H",2016-07-28 16:00:00,16,0,960,"Thursday",8,2,2,"N","Y","Y","IC",8,22,67,17,10,"wt.353"
"21","8821006/20160728/IC9240",2016-07-28,"03:33:26 PM","008821006","008814001","IC9240","high","l.25","008821006","Antwerpen-Centraal",4.421101,51.2172,467.98265895954,"Antwerpen",334,"g8","k = 11",334,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","H",2016-07-28 16:00:00,16,0,960,"Thursday",8,2,2,"N","Y","Y","IC",8,22,67,17,10,"wt.353"
"22","8821006/20160728/IC9240",2016-07-28,"03:33:30 PM","008821006","008814001","IC9240","high","l.25","008821006","Antwerpen-Centraal",4.421101,51.2172,467.98265895954,"Antwerpen",334,"g8","k = 11",334,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","H",2016-07-28 16:00:00,16,0,960,"Thursday",8,2,2,"N","Y","Y","IC",8,22,67,17,10,"wt.353"
"23","8821006/20160728/IC9240",2016-07-28,"03:33:34 PM","008821006","008814001","IC9240","high","l.25","008821006","Antwerpen-Centraal",4.421101,51.2172,467.98265895954,"Antwerpen",334,"g8","k = 11",334,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","H",2016-07-28 16:00:00,16,0,960,"Thursday",8,2,2,"N","Y","Y","IC",8,22,67,17,10,"wt.353"
"24","8813003/20160728/IC1538",2016-07-28,"04:44:52 PM","008813003","008892007","IC1538","medium","l.50","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","L",2016-07-28 17:00:00,17,0,1020,"Thursday",9,1,1,"Y","N","Y","IC",16,20,68,18,9,"wt.176"
"25","008833001/20160728/IC1739",2016-07-28,"05:53:40 PM","008833001","008813003","IC1739","medium","l.36","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","L",2016-07-28 18:00:00,18,0,1080,"Thursday",10,0,0,"N","Y","Y","IC",21,18,71,14,10,"wt.119"
"26","8813003/20160728/IC540",2016-07-28,"07:12:04 PM","008813003","008892007","IC540","low","l.50","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","L",2016-07-28 19:00:00,19,0,1140,"Thursday",11,1,1,"Y","N","Y","IC",11,18,71,17,10,"wt.176"
"27","8894201/20160728/IC719",2016-07-28,"08:17:09 PM","008894201","008892007","IC719","low","l.59","008894201","Lokeren",3.987794,51.108062,103.95664739884,"Oost-Vlaanderen",98,"g8","k = 11",334,"mg1","N","N","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","L",2016-07-28 20:00:00,20,0,1200,"Thursday",12,2,2,"N","N","N","IC",15,21,70,13,10,"wt.176"
"28","8812005/20160728/IC1518",2016-07-28,"08:26:52 PM","008812005","008831765","IC1518","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","L",2016-07-28 20:00:00,20,0,1200,"Thursday",12,2,2,"Y","N","Y","IC",16,17,73,17,10,"wt.176"
"29","8813003/20160728/IC515",2016-07-28,"08:34:57 PM","008813003","008833001","IC515","medium","l.36","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","L",2016-07-28 21:00:00,21,0,1260,"Thursday",11,3,3,"Y","N","Y","IC",11,15,75,17,10,"wt.353"
"30","8892007/20160728/L591",2016-07-28,"08:46:18 PM","008892007","008891140","L591","low","l.50A","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008891140","Aalter",3.447848,51.092295,78.488439306358,"Oost-Vlaanderen",91,"g2","k = 11",343,"mg1","N","N","L",2016-07-28 21:00:00,21,0,1260,"Thursday",11,3,3,"N","N","N","L",25,19,78,16,10,"wt.353"
"31","8812005/20160728/IC1518",2016-07-28,"08:48:59 PM","008812005","008831765","IC1518","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","L",2016-07-28 21:00:00,21,0,1260,"Thursday",11,3,3,"Y","N","Y","IC",16,15,75,17,10,"wt.353"
"32","8812005/20160728/IC1518",2016-07-28,"08:50:00 PM","008812005","008831765","IC1518","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","L",2016-07-28 21:00:00,21,0,1260,"Thursday",11,3,3,"Y","N","Y","IC",16,15,75,17,10,"wt.353"
"33","8812005/20160728/IC1518",2016-07-28,"08:51:01 PM","008812005","008831765","IC1518","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","L",2016-07-28 21:00:00,21,0,1260,"Thursday",11,3,3,"Y","N","Y","IC",16,15,75,17,10,"wt.353"
"34","8812005/20160728/IC1518",2016-07-28,"09:10:11 PM","008812005","008831765","IC1518","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","L",2016-07-28 21:00:00,21,0,1260,"Thursday",11,3,3,"Y","N","Y","IC",16,15,75,17,10,"wt.353"
"35","8833001/20160728/IC1518",2016-07-28,"09:15:16 PM","008833001","008831765","IC1518","low","l.36","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","L",2016-07-28 21:00:00,21,0,1260,"Thursday",11,3,3,"N","N","N","IC",16,13,74,15,10,"wt.122"
"36","8812005/20160728/IC1518",2016-07-28,"09:16:09 PM","008812005","008831765","IC1518","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","L",2016-07-28 21:00:00,21,0,1260,"Thursday",11,3,3,"Y","N","Y","IC",16,15,75,17,10,"wt.353"
"37","8813003/20160728/IC442",2016-07-28,"09:33:21 PM","008813003","008892007","IC442","low","l.50","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","L",2016-07-28 22:00:00,22,0,1320,"Thursday",10,4,4,"Y","N","Y","IC",10,13,77,18,10,"wt.353"
"38","008813003/20160728/IC543",2016-07-28,"09:58:40 PM","008813003","008892007","IC543","low","l.50","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","L",2016-07-28 22:00:00,22,0,1320,"Thursday",10,4,4,"Y","N","Y","IC",11,13,77,18,10,"wt.353"
"39","008891140/20160728/L592",2016-07-28,"10:02:39 PM","008891140","008891132","L592","low","l.50A","008891140","Aalter",3.447848,51.092295,78.488439306358,"Oost-Vlaanderen",91,"g2","k = 11",343,"mg1","N","N","008891132","Maria-Aalter",3.38673,51.107612,25.867052023121,"Oost-Vlaanderen",28,"g2","k = 11",343,"mg4","N","N","L",2016-07-28 22:00:00,22,0,1320,"Thursday",10,4,4,"N","N","N","L",25,18,92,18,10,"wt.353"
"40","8812005/20160728/IC1518",2016-07-28,"10:28:40 PM","008812005","008831765","IC1518","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","L",2016-07-28 22:00:00,22,0,1320,"Thursday",10,4,4,"Y","N","Y","IC",16,13,77,18,10,"wt.353"
"41","8813003/20160728/IC543",2016-07-28,"11:40:30 PM","008813003","008892007","IC543","low","l.50","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","L",2016-07-29 00:00:00,0,0,0,"Thursday",8,8,8,"Y","N","Y","IC",11,17,86,16,10,"wt.353"
"42","8812005/20160728/IC1518",2016-07-29,"12:45:26 AM","008812005","008831765","IC1518","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","L",2016-07-29 01:00:00,1,0,60,"Friday",7,9,7,"Y","N","Y","IC",16,18,91,15,10,"wt.353"
"43","8812005/20160728/IC1518",2016-07-29,"12:45:57 AM","008812005","008831765","IC1518","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","L",2016-07-29 01:00:00,1,0,60,"Friday",7,9,7,"Y","N","Y","IC",16,18,91,15,10,"wt.353"
"44","8812005/20160728/IC1518",2016-07-29,"01:03:18 AM","008812005","008831765","IC1518","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","L",2016-07-29 01:00:00,1,0,60,"Friday",7,9,7,"Y","N","Y","IC",16,18,91,15,10,"wt.353"
"45","8812005/20160728/IC1518",2016-07-29,"02:32:11 AM","008812005","008831765","IC1518","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","L",2016-07-29 03:00:00,3,0,180,"Friday",5,11,5,"Y","N","Y","IC",16,18,93,15,10,"wt.353"
"46","008891140/20160729/IC2832",2016-07-29,"12:21:33 PM","008891140","008891009","IC2832","medium","l.50A","008891140","Aalter",3.447848,51.092295,78.488439306358,"Oost-Vlaanderen",91,"g2","k = 11",343,"mg1","N","N","008891009","Brugge",3.216726,51.197226,164.41907514451,"West-Vlaanderen",183,"g11","k = 11",183,"mg1","N","N","L",2016-07-29 12:00:00,12,0,720,"Friday",4,6,4,"N","N","N","IC",7,20,68,20,10,"wt.353"
"47","008891009/20160729/L582",2016-07-29,"12:34:26 PM","008891009","008891033","L582","low","l.51","008891009","Brugge",3.216726,51.197226,164.41907514451,"West-Vlaanderen",183,"g11","k = 11",183,"mg1","N","N","008891033","Brugge-Sint-Pieters",3.201795,51.223115,13.263005780347,"West-Vlaanderen",19,"g11","k = 11",183,"mg4","N","N","L",2016-07-29 13:00:00,13,0,780,"Friday",5,5,5,"N","N","N","L",28,20,67,22,10,"wt.353"
"48","008891033/20160729/L582",2016-07-29,"12:34:36 PM","008891033","008891629","L582","low","l.51","008891033","Brugge-Sint-Pieters",3.201795,51.223115,13.263005780347,"West-Vlaanderen",19,"g11","k = 11",183,"mg4","N","N","008891629","Lissewege",3.194505,51.294714,13.263005780347,"West-Vlaanderen",19,"g11","k = 11",183,"mg4","N","N","L",2016-07-29 13:00:00,13,0,780,"Friday",5,5,5,"N","N","N","L",28,20,67,22,10,"wt.353"
"49","008891629/20160729/L582",2016-07-29,"12:34:45 PM","008891629","008891173","L582","low","l.51","008891629","Lissewege",3.194505,51.294714,13.263005780347,"West-Vlaanderen",19,"g11","k = 11",183,"mg4","N","N","008891173","Zeebrugge-Strand",3.186666,51.324549,5.7456647398844,"West-Vlaanderen",0,"g11","k = 11",183,"mg2","N","Y","L",2016-07-29 13:00:00,13,0,780,"Friday",5,5,5,"N","N","N","L",28,20,67,22,10,"wt.353"
"50","8812005/20160728/IC1518",2016-07-29,"12:43:57 PM","008812005","008831765","IC1518","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","L",2016-07-29 13:00:00,13,0,780,"Friday",5,5,5,"Y","N","Y","IC",16,21,69,23,10,"wt.353"
"51","008891173/20160729/L563",2016-07-29,"01:03:35 PM","008891173","008891629","L563","low","l.51","008891173","Zeebrugge-Strand",3.186666,51.324549,5.7456647398844,"West-Vlaanderen",0,"g11","k = 11",183,"mg2","N","Y","008891629","Lissewege",3.194505,51.294714,13.263005780347,"West-Vlaanderen",19,"g11","k = 11",183,"mg4","N","N","L",2016-07-29 13:00:00,13,0,780,"Friday",5,5,5,"N","N","N","L",28,20,67,22,10,"wt.353"
"52","008891629/20160729/L563",2016-07-29,"01:03:40 PM","008891629","008891033","L563","low","l.51","008891629","Lissewege",3.194505,51.294714,13.263005780347,"West-Vlaanderen",19,"g11","k = 11",183,"mg4","N","N","008891033","Brugge-Sint-Pieters",3.201795,51.223115,13.263005780347,"West-Vlaanderen",19,"g11","k = 11",183,"mg4","N","N","L",2016-07-29 13:00:00,13,0,780,"Friday",5,5,5,"N","N","N","L",28,20,67,22,10,"wt.353"
"53","008891033/20160729/L563",2016-07-29,"01:03:46 PM","008891033","008891009","L563","low","l.51","008891033","Brugge-Sint-Pieters",3.201795,51.223115,13.263005780347,"West-Vlaanderen",19,"g11","k = 11",183,"mg4","N","N","008891009","Brugge",3.216726,51.197226,164.41907514451,"West-Vlaanderen",183,"g11","k = 11",183,"mg1","N","N","L",2016-07-29 13:00:00,13,0,780,"Friday",5,5,5,"N","N","N","L",28,20,67,22,10,"wt.353"
"54","008812211/20160729/S42183",2016-07-29,"01:09:36 PM","008812211","008812047","S42183","low","l.50","008812211","Sint-Agatha-Berchem/Berchem-Sainte-Agathe",4.289895,50.872625,39.121387283237,"Bruxelles",30,"g8","k = 11",334,"mg4","N","N","008812047","Jette",4.32622,50.880833,95.676300578035,"Bruxelles",63,"g9","k = 11",660,"mg1","N","N","L",2016-07-29 13:00:00,13,0,780,"Friday",5,5,5,"N","N","N","S",17,21,69,23,10,"wt.353"
"55","008812047/20160729/IC3235",2016-07-29,"01:25:15 PM","008812047","008813003","IC3235","low","l.0","008812047","Jette",4.32622,50.880833,95.676300578035,"Bruxelles",63,"g9","k = 11",660,"mg1","N","N","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","L",2016-07-29 13:00:00,13,0,780,"Friday",5,5,5,"N","Y","Y","IC",20,21,69,23,10,"wt.353"
"56","008891009/20160729/IC2813",2016-07-29,"01:45:50 PM","008891009","008891140","IC2813","low","l.50A","008891009","Brugge",3.216726,51.197226,164.41907514451,"West-Vlaanderen",183,"g11","k = 11",183,"mg1","N","N","008891140","Aalter",3.447848,51.092295,78.488439306358,"Oost-Vlaanderen",91,"g2","k = 11",343,"mg1","N","N","L",2016-07-29 14:00:00,14,0,840,"Friday",6,4,4,"N","N","N","IC",7,21,66,22,10,"wt.353"
