"","occ_binary","line","hour","day_of_week","dist_rush","to_from_bruss","vehicle_type","nr_of_stops","temperature","humidity","windspeed","visibility","weather_type","from.avg_stop_times","from.prov","from.count","from.groups","from.maxcount","from.maj_groups","from.major_hub","from.non_hub","to.avg_stop_times","to.prov","to.count","to.groups","to.maxcount","to.maj_groups","to.major_hub","to.non_hub","to_from_maj_hub","tf_avg_stop","tf_count","to.Hainut","to.VlaamsBrabant","from.Hainut","from.VlaamsBrabant","line7573","line66","line12","in_group","in_group_maj"
"13","0","l.50",11,"Thursday",3,"Y","IC",28,19,77,12,10,"wt.176",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"14","0","l.50",11,"Thursday",3,"Y","IC",7,19,77,12,10,"wt.176",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"15","1","l.25",11,"Thursday",3,"Y","IC",9,18,83,10,10,"wt.176",467.98265895954,"Antwerpen",334,"g8",334,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",577.29913294798,497,"N","N","N","N","N","N","N","N","Y"
"16","1","l.25",11,"Thursday",3,"Y","IC",6,18,83,10,10,"wt.176",467.98265895954,"Antwerpen",334,"g8",334,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",577.29913294798,497,"N","N","N","N","N","N","N","N","Y"
"17","1","l.50",13,"Thursday",5,"Y","P",15,20,71,15,10,"wt.353",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"18","1","l.50",13,"Thursday",5,"Y","P",15,20,71,15,10,"wt.353",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"19","0","l.50A",15,"Thursday",3,"N","L",28,21,59,14,9,"wt.176",78.488439306358,"Oost-Vlaanderen",91,"g2",343,"mg1","N","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",193.751445086704,217,"N","N","N","N","N","N","N","Y","N"
"20","1","l.25",16,"Thursday",2,"Y","IC",8,22,67,17,10,"wt.353",467.98265895954,"Antwerpen",334,"g8",334,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",577.29913294798,497,"N","N","N","N","N","N","N","N","Y"
"21","1","l.25",16,"Thursday",2,"Y","IC",8,22,67,17,10,"wt.353",467.98265895954,"Antwerpen",334,"g8",334,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",577.29913294798,497,"N","N","N","N","N","N","N","N","Y"
"22","1","l.25",16,"Thursday",2,"Y","IC",8,22,67,17,10,"wt.353",467.98265895954,"Antwerpen",334,"g8",334,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",577.29913294798,497,"N","N","N","N","N","N","N","N","Y"
"23","1","l.25",16,"Thursday",2,"Y","IC",8,22,67,17,10,"wt.353",467.98265895954,"Antwerpen",334,"g8",334,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",577.29913294798,497,"N","N","N","N","N","N","N","N","Y"
"24","0","l.50",17,"Thursday",1,"Y","IC",16,20,68,18,9,"wt.176",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",471.58959537572,492,"N","N","N","N","N","N","N","N","Y"
"25","0","l.36",18,"Thursday",0,"Y","IC",21,18,71,14,10,"wt.119",351.9161849711,"Vlaams Brabant",300,"g3",300,"mg5","Y","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",493.040462427745,470.5,"N","N","N","Y","N","N","N","N","Y"
"26","0","l.50",19,"Thursday",1,"Y","IC",11,18,71,17,10,"wt.176",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",471.58959537572,492,"N","N","N","N","N","N","N","N","Y"
"27","0","l.59",20,"Thursday",2,"N","IC",15,21,70,13,10,"wt.176",103.95664739884,"Oost-Vlaanderen",98,"g8",334,"mg1","N","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",206.485549132945,220.5,"N","N","N","N","N","N","N","N","N"
"28","0","l.36",20,"Thursday",2,"Y","IC",16,17,73,17,10,"wt.176",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",339.871387283239,343,"N","N","N","N","N","N","N","N","N"
"29","0","l.36",21,"Thursday",3,"Y","IC",11,15,75,17,10,"wt.353",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N",351.9161849711,"Vlaams Brabant",300,"g3",300,"mg5","Y","N","Y",493.040462427745,470.5,"N","Y","N","N","N","N","N","N","Y"
"30","0","l.50A",21,"Thursday",3,"N","L",25,19,78,16,10,"wt.353",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",78.488439306358,"Oost-Vlaanderen",91,"g2",343,"mg1","N","N","Y",193.751445086704,217,"N","N","N","N","N","N","N","Y","N"
"31","0","l.36",21,"Thursday",3,"Y","IC",16,15,75,17,10,"wt.353",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",339.871387283239,343,"N","N","N","N","N","N","N","N","N"
"32","0","l.36",21,"Thursday",3,"Y","IC",16,15,75,17,10,"wt.353",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",339.871387283239,343,"N","N","N","N","N","N","N","N","N"
"33","0","l.36",21,"Thursday",3,"Y","IC",16,15,75,17,10,"wt.353",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",339.871387283239,343,"N","N","N","N","N","N","N","N","N"
"34","0","l.36",21,"Thursday",3,"Y","IC",16,15,75,17,10,"wt.353",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",339.871387283239,343,"N","N","N","N","N","N","N","N","N"
"35","0","l.36",21,"Thursday",3,"N","IC",16,13,74,15,10,"wt.122",351.9161849711,"Vlaams Brabant",300,"g3",300,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",195.696531791909,170.5,"N","N","N","Y","N","N","N","N","N"
"36","0","l.36",21,"Thursday",3,"Y","IC",16,15,75,17,10,"wt.353",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",339.871387283239,343,"N","N","N","N","N","N","N","N","N"
"37","0","l.50",22,"Thursday",4,"Y","IC",10,13,77,18,10,"wt.353",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",471.58959537572,492,"N","N","N","N","N","N","N","N","Y"
"38","0","l.50",22,"Thursday",4,"Y","IC",11,13,77,18,10,"wt.353",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",471.58959537572,492,"N","N","N","N","N","N","N","N","Y"
"39","0","l.50A",22,"Thursday",4,"N","L",25,18,92,18,10,"wt.353",78.488439306358,"Oost-Vlaanderen",91,"g2",343,"mg1","N","N",25.867052023121,"Oost-Vlaanderen",28,"g2",343,"mg4","N","N","N",52.1777456647395,59.5,"N","N","N","N","N","N","N","Y","N"
"40","0","l.36",22,"Thursday",4,"Y","IC",16,13,77,18,10,"wt.353",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",339.871387283239,343,"N","N","N","N","N","N","N","N","N"
"41","0","l.50",0,"Thursday",8,"Y","IC",11,17,86,16,10,"wt.353",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",471.58959537572,492,"N","N","N","N","N","N","N","N","Y"
"42","0","l.36",1,"Friday",7,"Y","IC",16,18,91,15,10,"wt.353",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",339.871387283239,343,"N","N","N","N","N","N","N","N","N"
"43","0","l.36",1,"Friday",7,"Y","IC",16,18,91,15,10,"wt.353",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",339.871387283239,343,"N","N","N","N","N","N","N","N","N"
"44","0","l.36",1,"Friday",7,"Y","IC",16,18,91,15,10,"wt.353",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",339.871387283239,343,"N","N","N","N","N","N","N","N","N"
"45","0","l.36",3,"Friday",5,"Y","IC",16,18,93,15,10,"wt.353",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",339.871387283239,343,"N","N","N","N","N","N","N","N","N"
"46","0","l.50A",12,"Friday",4,"N","IC",7,20,68,20,10,"wt.353",78.488439306358,"Oost-Vlaanderen",91,"g2",343,"mg1","N","N",164.41907514451,"West-Vlaanderen",183,"g11",183,"mg1","N","N","N",121.453757225434,137,"N","N","N","N","N","N","N","N","Y"
"47","0","l.51",13,"Friday",5,"N","L",28,20,67,22,10,"wt.353",164.41907514451,"West-Vlaanderen",183,"g11",183,"mg1","N","N",13.263005780347,"West-Vlaanderen",19,"g11",183,"mg4","N","N","N",88.8410404624285,101,"N","N","N","N","N","N","N","Y","N"
"48","0","l.51",13,"Friday",5,"N","L",28,20,67,22,10,"wt.353",13.263005780347,"West-Vlaanderen",19,"g11",183,"mg4","N","N",13.263005780347,"West-Vlaanderen",19,"g11",183,"mg4","N","N","N",13.263005780347,19,"N","N","N","N","N","N","N","Y","Y"
"49","0","l.51",13,"Friday",5,"N","L",28,20,67,22,10,"wt.353",13.263005780347,"West-Vlaanderen",19,"g11",183,"mg4","N","N",5.7456647398844,"West-Vlaanderen",0,"g11",183,"mg2","N","Y","N",9.5043352601157,9.5,"N","N","N","N","N","N","N","Y","N"
"50","0","l.36",13,"Friday",5,"Y","IC",16,21,69,23,10,"wt.353",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",339.871387283239,343,"N","N","N","N","N","N","N","N","N"
"51","0","l.51",13,"Friday",5,"N","L",28,20,67,22,10,"wt.353",5.7456647398844,"West-Vlaanderen",0,"g11",183,"mg2","N","Y",13.263005780347,"West-Vlaanderen",19,"g11",183,"mg4","N","N","N",9.5043352601157,9.5,"N","N","N","N","N","N","N","Y","N"
"52","0","l.51",13,"Friday",5,"N","L",28,20,67,22,10,"wt.353",13.263005780347,"West-Vlaanderen",19,"g11",183,"mg4","N","N",13.263005780347,"West-Vlaanderen",19,"g11",183,"mg4","N","N","N",13.263005780347,19,"N","N","N","N","N","N","N","Y","Y"
"53","0","l.51",13,"Friday",5,"N","L",28,20,67,22,10,"wt.353",13.263005780347,"West-Vlaanderen",19,"g11",183,"mg4","N","N",164.41907514451,"West-Vlaanderen",183,"g11",183,"mg1","N","N","N",88.8410404624285,101,"N","N","N","N","N","N","N","Y","N"
"54","0","l.50",13,"Friday",5,"N","S",17,21,69,23,10,"wt.353",39.121387283237,"Bruxelles",30,"g8",334,"mg4","N","N",95.676300578035,"Bruxelles",63,"g9",660,"mg1","N","N","N",67.398843930636,46.5,"N","N","N","N","N","N","N","N","N"
"55","0","l.0",13,"Friday",5,"Y","IC",20,21,69,23,10,"wt.353",95.676300578035,"Bruxelles",63,"g9",660,"mg1","N","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",364.920520231212,352,"N","N","N","N","N","N","N","Y","N"
"56","0","l.50A",14,"Friday",4,"N","IC",7,21,66,22,10,"wt.353",164.41907514451,"West-Vlaanderen",183,"g11",183,"mg1","N","N",78.488439306358,"Oost-Vlaanderen",91,"g2",343,"mg1","N","N","N",121.453757225434,137,"N","N","N","N","N","N","N","N","Y"
"57","0","l.0",19,"Friday",1,"Y","S",15,21,75,19,10,"wt.116",39.121387283237,"Bruxelles",30,"g8",334,"mg4","N","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",336.643063583814,335.5,"N","N","N","N","N","N","N","N","N"
"58","0","l.75-73",11,"Saturday",3,"N","IC",28,18,75,8,10,"wt.122",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",53.095375722543,"West-Vlaanderen",64,"g11",183,"mg1","N","N","Y",181.054913294797,203.5,"N","N","N","N","Y","N","N","N","N"
"59","0","l.50",11,"Saturday",3,"Y","IC",11,18,75,8,10,"wt.122",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",471.58959537572,492,"N","N","N","N","N","N","N","N","Y"
"60","0","l.50",11,"Saturday",3,"Y","IC",16,18,75,8,10,"wt.122",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",471.58959537572,492,"N","N","N","N","N","N","N","N","Y"
"61","1","l.25",15,"Saturday",3,"Y","IC",14,21,74,9,9,"wt.176",130.41329479769,"Vlaams Brabant",116,"g9",660,"mg1","N","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",382.28901734104,378.5,"N","N","N","Y","N","N","N","Y","N"
"62","0","l.25",15,"Saturday",3,"N","IC",10,21,74,9,9,"wt.176",130.41329479769,"Vlaams Brabant",116,"g9",660,"mg1","N","N",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N","Y",276.028901734105,219,"N","N","N","Y","N","N","N","N","N"
"63","0","l.25",16,"Saturday",2,"N","IC",10,19,80,9,10,"wt.353",306.52312138728,"Antwerpen",253,"g3",300,"mg5","Y","N",91.372832369942,"Antwerpen",76,"g3",300,"mg1","N","N","Y",198.947976878611,164.5,"N","N","N","N","N","N","N","Y","N"
"64","0","l.25",16,"Saturday",2,"N","IC",10,19,80,9,10,"wt.353",91.372832369942,"Antwerpen",76,"g3",300,"mg1","N","N",64.893063583815,"Antwerpen",40,"g8",334,"mg3","N","N","N",78.1329479768785,58,"N","N","N","N","N","N","N","N","N"
"65","0","l.25",16,"Saturday",2,"N","IC",10,19,80,7,10,"wt.353",64.893063583815,"Antwerpen",40,"g8",334,"mg3","N","N",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N","Y",243.268786127168,181,"N","N","N","N","N","N","N","Y","N"
"66","0","l.15",16,"Saturday",2,"N","IC",6,19,80,7,10,"wt.353",421.64450867052,"Antwerpen",322,"g8",334,"mg5","Y","N",154.41329479769,"Antwerpen",98,"g3",300,"mg1","N","N","Y",288.028901734105,210,"N","N","N","N","N","N","N","N","N"
"67","0","l.15",16,"Saturday",2,"N","IC",6,19,80,7,10,"wt.353",154.41329479769,"Antwerpen",98,"g3",300,"mg1","N","N",29.56936416185,"Antwerpen",10,"g3",300,"mg2","N","Y","N",91.99132947977,54,"N","N","N","N","N","N","N","Y","N"
"68","0","l.36",17,"Sunday",1,"Y","IC",16,20,66,18,9,"wt.176",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",339.871387283239,343,"N","N","N","N","N","N","N","N","N"
"69","0","l.36",17,"Sunday",1,"Y","IC",16,20,66,18,9,"wt.176",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","Y",339.871387283239,343,"N","N","N","N","N","N","N","N","N"
"70","1","l.50A",20,"Sunday",2,"N","IC",16,18,62,11,10,"wt.113",164.41907514451,"West-Vlaanderen",183,"g11",183,"mg1","N","N",164.41907514451,"West-Vlaanderen",183,"g11",183,"mg1","N","N","N",164.41907514451,183,"N","N","N","N","N","N","N","Y","Y"
"71","0","l.other",21,"Sunday",3,"N","IC",6,16,83,9,10,"wt.113",48.526011560694,"Antwerpen",33,"g3",300,"mg3","N","N",101.30924855491,"Antwerpen",62,"g3",300,"mg1","N","N","N",74.917630057802,47.5,"N","N","N","N","N","N","N","Y","N"
"72","0","l.15",21,"Sunday",3,"N","IC",15,16,82,8,10,"wt.113",101.30924855491,"Antwerpen",62,"g3",300,"mg1","N","N",45.528901734104,"Antwerpen",28,"g3",300,"mg4","N","N","N",73.419075144507,45,"N","N","N","N","N","N","N","Y","N"
"73","0","l.15",21,"Sunday",3,"N","IC",15,14,84,9,10,"wt.113",59.751445086705,"Antwerpen",28,"g5",132,"mg4","N","N",28.393063583815,"Antwerpen",3,"g5",132,"mg2","N","Y","N",44.07225433526,15.5,"N","N","N","N","N","N","N","Y","N"
"74","0","l.50A",17,"Monday",1,"N","IC",7,20,52,18,10,"wt.116",78.488439306358,"Oost-Vlaanderen",91,"g2",343,"mg1","N","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",193.751445086704,217,"N","N","N","N","N","N","N","Y","N"
"75","0","l.50A",17,"Monday",1,"N","IC",7,20,52,18,10,"wt.116",78.488439306358,"Oost-Vlaanderen",91,"g2",343,"mg1","N","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",193.751445086704,217,"N","N","N","N","N","N","N","Y","N"
"76","0","l.59",17,"Monday",1,"N","IC",15,20,51,8,10,"wt.353",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",80.534682080925,"Oost-Vlaanderen",85,"g2",343,"mg1","N","N","Y",194.774566473988,214,"N","N","N","N","N","N","N","Y","N"
"77","0","l.59",17,"Monday",1,"N","IC",15,20,51,8,10,"wt.353",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",80.534682080925,"Oost-Vlaanderen",85,"g2",343,"mg1","N","N","Y",194.774566473988,214,"N","N","N","N","N","N","N","Y","N"
"78","0","l.59",17,"Monday",1,"N","IC",15,20,51,8,10,"wt.353",80.534682080925,"Oost-Vlaanderen",85,"g2",343,"mg1","N","N",103.95664739884,"Oost-Vlaanderen",98,"g8",334,"mg1","N","N","N",92.2456647398825,91.5,"N","N","N","N","N","N","N","N","Y"
"79","0","l.59",17,"Monday",1,"N","IC",15,20,51,8,10,"wt.353",80.534682080925,"Oost-Vlaanderen",85,"g2",343,"mg1","N","N",103.95664739884,"Oost-Vlaanderen",98,"g8",334,"mg1","N","N","N",92.2456647398825,91.5,"N","N","N","N","N","N","N","N","Y"
"80","0","l.59",17,"Monday",1,"N","IC",15,19,53,4,10,"wt.353",103.95664739884,"Oost-Vlaanderen",98,"g8",334,"mg1","N","N",127.5838150289,"Oost-Vlaanderen",108,"g8",334,"mg1","N","N","N",115.77023121387,103,"N","N","N","N","N","N","N","Y","Y"
"81","0","l.59",17,"Monday",1,"N","IC",15,19,53,4,10,"wt.353",103.95664739884,"Oost-Vlaanderen",98,"g8",334,"mg1","N","N",127.5838150289,"Oost-Vlaanderen",108,"g8",334,"mg1","N","N","N",115.77023121387,103,"N","N","N","N","N","N","N","Y","Y"
"82","0","l.35",9,"Tuesday",1,"Y","IC",17,16,94,18,7,"wt.302",180.59826589595,"Limburg",132,"g5",132,"mg1","N","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",433.606936416185,396,"N","N","N","N","N","N","N","N","N"
"83","0","l.35",9,"Tuesday",1,"Y","IC",17,16,94,18,7,"wt.302",180.59826589595,"Limburg",132,"g5",132,"mg1","N","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",433.606936416185,396,"N","N","N","N","N","N","N","N","N"
"84","0","l.50",10,"Tuesday",2,"Y","IC",11,16,96,22,9,"wt.296",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"85","0","l.50",10,"Tuesday",2,"Y","IC",11,16,96,22,9,"wt.296",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"86","0","l.0",10,"Tuesday",2,"Y","IC",17,16,94,24,9,"wt.296",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",637.215317919075,643,"N","N","N","N","N","N","N","Y","Y"
"87","0","l.0",10,"Tuesday",2,"Y","IC",17,16,94,24,9,"wt.296",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",637.215317919075,643,"N","N","N","N","N","N","N","Y","Y"
"88","0","l.36",10,"Tuesday",2,"Y","IC",17,16,94,21,7,"wt.302",123.80057803468,"Vlaams Brabant",110,"g3",300,"mg1","N","N",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N","Y",382.03323699422,377.5,"N","N","N","Y","N","N","N","N","N"
"89","0","l.36",10,"Tuesday",2,"Y","IC",17,16,94,21,7,"wt.302",123.80057803468,"Vlaams Brabant",110,"g3",300,"mg1","N","N",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N","Y",382.03323699422,377.5,"N","N","N","Y","N","N","N","N","N"
"90","0","l.35",10,"Tuesday",2,"N","IC",17,16,95,20,7,"wt.302",84.919075144509,"Vlaams Brabant",78,"g3",300,"mg1","N","N",123.80057803468,"Vlaams Brabant",110,"g3",300,"mg1","N","N","N",104.359826589594,94,"N","Y","N","Y","N","N","N","Y","Y"
"91","0","l.35",10,"Tuesday",2,"N","IC",17,16,95,20,7,"wt.302",84.919075144509,"Vlaams Brabant",78,"g3",300,"mg1","N","N",123.80057803468,"Vlaams Brabant",110,"g3",300,"mg1","N","N","N",104.359826589594,94,"N","Y","N","Y","N","N","N","Y","Y"
"92","0","l.50",10,"Tuesday",2,"Y","IC",7,16,94,24,9,"wt.296",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"93","0","l.50",10,"Tuesday",2,"Y","IC",7,16,94,24,9,"wt.296",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"94","0","l.59",11,"Tuesday",3,"N","IC",15,16,95,22,8,"wt.296",127.5838150289,"Oost-Vlaanderen",108,"g8",334,"mg1","N","N",103.95664739884,"Oost-Vlaanderen",98,"g8",334,"mg1","N","N","N",115.77023121387,103,"N","N","N","N","N","N","N","Y","Y"
"95","0","l.59",11,"Tuesday",3,"N","IC",15,16,95,22,8,"wt.296",127.5838150289,"Oost-Vlaanderen",108,"g8",334,"mg1","N","N",103.95664739884,"Oost-Vlaanderen",98,"g8",334,"mg1","N","N","N",115.77023121387,103,"N","N","N","N","N","N","N","Y","Y"
"96","0","l.59",11,"Tuesday",3,"N","IC",15,16,95,22,8,"wt.296",103.95664739884,"Oost-Vlaanderen",98,"g8",334,"mg1","N","N",80.534682080925,"Oost-Vlaanderen",85,"g2",343,"mg1","N","N","N",92.2456647398825,91.5,"N","N","N","N","N","N","N","N","Y"
